,Period_EvCl,Period_StEv,Policy_agent_cat,FLAG_Owner_bl,FLAG_Insurer_bl,Policy_KBM,Policy_KS,Policy_KT,Policy_KVS,FLAG_Policy_KO,FLAG_Policy_KP,FLAG_Policy_KPR,FLAG_Policy_type,VEH_age,VEH_capacity_type,FLAG_bad_region,FLAG_dsago,FLAG_prolong,Policy_loss_count,Damage_count,Claim_type,FLAG_trial,Event_type_Классика,Event_type_ПВУ СП,Insurer_type_ПБОЮЛ,Insurer_type_Физическое Лицо,Insurer_type_Юридическое Лицо,Owner_region_Волгоградская область,Owner_region_Краснодарский край,Owner_region_Москва,Owner_region_Ростовская область,Owner_region_Челябинская область,Owner_type_ПБОЮЛ,Owner_type_Физическое Лицо,Owner_type_Юридическое Лицо,Sales_channel_Автодилеры,Sales_channel_Агенты и РБ,Sales_channel_ДКК,Sales_channel_Лизинг,Sales_channel_Прочие,Sales_channel_Собственные продажи,Sales_channel_Фронт-офис,VEH_aim_use_Дорожные и специальные ТС,VEH_aim_use_Личные,VEH_aim_use_Перевозка опасных и легко воспламеняющихся грузов,VEH_aim_use_Прокат/Краткосрочная аренда,VEH_aim_use_Прочие,VEH_aim_use_Регулярные/по заказам пассажирские перевозки,VEH_aim_use_Такси,VEH_aim_use_Учебная езда,VEH_aim_use_Экстренные и коммунальные службы,VEH_model_AUDI A4,VEH_model_AUDI A6,VEH_model_BMW 520,VEH_model_BMW X5,VEH_model_LEXUS RX,VEH_model_MERCEDES-BENZ C 180,VEH_model_MERCEDES-BENZ E 200,VEH_model_PORSCHE CAYENNE,VEH_model_TOYOTA LAND CRUISER,VEH_model_TOYOTA LAND CRUISER PRADO,VEH_type_name_Автобус более 16,VEH_type_name_Автобус менее 16,VEH_type_name_Автобус такси,VEH_type_name_Грузовой более 16,VEH_type_name_Грузовой менее 16,VEH_type_name_Легковой,VEH_type_name_Легковой такси,VEH_type_name_Мотоцикл,VEH_type_name_Трактор,Owner_region_another,VEH_model_another
2102,14,299,0.020715850904705003,0,0,0.9,1.0,1.8,1.0,0,1,0,0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2110,107,170,0.077224569214681,0,0,1.0,1.0,2.0,1.0,0,1,0,0,10.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2113,2,226,0.031025197355871,0,0,0.95,1.0,0.8,1.0,0,1,0,0,9.0,4.0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2114,4,209,0.10732236070972999,0,0,1.0,1.0,1.1,1.0,1,1,0,0,0.0,7.0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2115,14,195,0.03602527941873,0,0,0.5,1.0,1.8,1.0,0,1,0,0,0.0,5.0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2118,37,144,0.09609122916577699,0,0,1.0,1.0,1.0,1.0,1,1,0,0,11.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2122,11,116,0.072320678732599,0,0,0.95,1.0,1.8,1.0,0,1,0,0,10.0,4.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2129,19,47,0.11070359252458001,0,0,0.9,1.0,1.0,1.0,0,1,0,0,5.0,5.0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2130,33,79,0.07996603330862301,0,0,1.0,1.0,1.3,1.0,1,1,0,0,9.0,6.0,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2132,9,50,0.06053165321763201,0,0,0.95,1.0,1.0,1.0,1,1,0,0,10.0,4.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2134,2,50,0.05455673326291599,0,0,1.0,1.0,1.5,1.6,0,1,0,1,1.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2137,9,23,0.044729859074548,1,1,0.95,1.0,0.7,1.0,0,1,0,0,19.0,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2139,11,7,0.06053165321763201,0,0,0.9,1.0,1.1,1.0,0,1,0,0,9.0,3.0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2143,2,14,0.06053165321763201,0,0,1.0,1.0,1.4,1.0,0,1,0,0,7.0,3.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2152,2,5,0.029831731296391002,0,0,1.0,1.0,1.0,1.0,0,1,0,0,21.0,3.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2157,131,278,0.03945641134544,0,0,1.0,1.0,0.6,1.0,0,1,0,1,19.0,6.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2164,9,310,0.12269718524413001,0,0,0.8,1.0,1.8,1.0,0,1,0,1,13.0,3.0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2165,14,292,0.024282841576242,0,0,0.5,1.0,1.1,1.0,0,1,0,0,9.0,3.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2169,10,320,0.07093875868529599,0,0,1.0,1.0,1.8,1.0,1,1,0,0,1.0,5.0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2182,2,153,0.072320678732599,0,0,0.7,1.0,1.8,1.0,0,1,0,0,3.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2183,7,148,0.057542307203402,0,0,0.95,1.0,1.7,1.0,0,1,0,0,3.0,6.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2186,0,182,0.070553875435942,0,0,1.0,1.0,1.7,1.0,1,1,0,0,8.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2189,16,85,0.097789182165107,0,0,1.0,1.0,1.2,1.0,1,1,0,0,0.0,6.0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2190,5,82,0.040881706294964994,0,0,0.95,1.0,1.2,1.0,0,1,0,0,4.0,5.0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2196,13,49,0.06053165321763201,0,0,0.9,1.0,1.8,1.0,0,1,0,0,10.0,4.0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2210,9,12,0.27645864565859996,0,0,0.95,1.0,1.4,1.0,0,1,0,0,11.0,6.0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2217,20,2,0.06053165321763201,0,0,1.0,1.0,0.7,1.0,0,1,0,0,11.0,3.0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2235,11,279,0.03945641134544,0,0,0.95,1.0,0.7,1.0,0,1,0,0,2.0,3.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2239,80,204,0.10732236070972999,0,0,1.0,1.0,2.0,1.0,1,1,0,0,2.0,6.0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2242,17,241,0.09031377978676401,0,0,1.0,1.0,1.6,1.0,1,1,0,0,15.0,5.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2245,117,116,0.06821876290057101,0,0,0.5,1.0,1.7,1.0,0,1,0,0,8.0,5.0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2257,11,158,0.08982490911315301,0,0,0.9,1.0,1.1,1.0,0,1,0,0,8.0,5.0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2261,14,108,0.0856683417042,0,0,0.7,1.0,1.6,1.0,0,1,0,0,30.0,6.0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2262,20,133,0.070553875435942,0,0,0.9,1.0,2.0,1.0,0,1,0,0,8.0,6.0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2277,16,18,0.06053165321763201,0,0,0.65,1.0,1.2,1.0,0,1,0,0,4.0,5.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2281,10,25,0.07720555742803,0,0,1.0,1.0,1.4,1.0,1,1,0,0,9.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2283,8,18,0.36994775603113,0,0,0.75,1.0,2.1,1.0,0,1,0,0,14.0,4.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2289,1,15,0.06053165321763201,0,0,0.5,1.0,0.7,1.0,0,1,0,0,13.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2298,4,2,0.04945961528156401,0,0,0.85,1.0,1.3,1.0,0,1,0,0,8.0,5.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2299,7,3,0.066843560640616,0,0,1.0,1.0,2.0,1.0,1,1,0,0,20.0,2.0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2312,6,301,0.1246387783292,0,0,1.0,1.0,1.8,1.0,0,1,0,0,10.0,3.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2320,0,210,0.10732236070972999,0,0,1.0,1.0,1.0,1.0,1,1,0,0,0.0,6.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2321,14,170,0.45368050477322996,0,0,1.0,1.0,2.0,1.0,1,1,0,0,0.0,7.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2330,3,173,0.087959752314966,0,0,0.95,1.0,2.0,1.0,0,1,0,1,4.0,5.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2331,13,135,0.031025197355871,0,0,0.95,1.0,1.0,1.0,0,1,0,0,2.0,4.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2339,25,19,0.06053165321763201,0,0,1.0,1.0,1.5,1.7,0,1,0,0,13.0,3.0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2341,32,10,0.06053165321763201,0,0,0.95,1.0,1.0,1.0,0,1,0,0,23.0,3.0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2345,26,13,0.055362418195049,0,0,0.55,1.0,1.7,1.0,0,1,0,0,9.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2346,11,4,0.06053165321763201,0,0,1.0,1.0,0.8,1.0,1,1,0,1,28.0,2.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2347,6,31,0.06403484099663599,0,0,0.85,1.0,1.8,1.0,0,1,0,0,9.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2353,8,19,0.09020255182494,0,0,0.5,1.0,2.0,1.0,0,1,0,0,9.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2363,13,20,0.12075376151971999,0,0,0.9,1.0,2.0,1.0,0,1,0,0,9.0,5.0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2371,5,346,0.078520963416759,0,0,0.85,1.0,1.7,1.0,0,1,0,0,2.0,5.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2374,13,310,0.066366181806793,0,0,1.0,1.0,1.8,1.0,0,1,0,0,3.0,6.0,1,0,1,0,3,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2375,17,301,0.030955474275127,0,0,0.95,1.0,1.0,1.0,0,1,0,0,17.0,3.0,1,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2382,29,236,0.14753957768502,0,0,0.9,1.0,1.0,1.0,0,1,0,0,8.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2384,2,300,0.097203130674791,0,0,1.0,1.0,2.1,1.0,1,1,0,0,0.0,7.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2389,1,209,0.018331842735974997,0,0,0.9,1.0,1.0,1.0,0,1,0,0,5.0,4.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2390,1,210,0.013436689223254998,0,0,0.9,1.0,1.0,1.0,0,1,0,0,10.0,3.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2391,74,153,0.14075110034608998,0,0,1.0,1.0,1.0,1.7,0,1,0,0,11.0,3.0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2395,6,181,0.09391433241430999,0,0,0.95,1.0,1.1,1.0,0,1,0,0,0.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2403,4,105,0.10273375651075,0,0,0.9,1.0,1.8,1.0,0,1,0,1,4.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2412,22,58,0.08481626883664999,0,0,1.0,1.0,1.1,1.0,0,1,0,0,10.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2417,15,42,0.06053165321763201,0,0,0.95,1.0,0.7,1.0,0,1,0,0,20.0,5.0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2419,21,30,0.06053165321763201,0,0,1.0,1.0,1.0,1.0,0,1,0,0,30.0,3.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2424,1,30,0.092875592947522,0,0,0.9,1.0,1.6,1.0,0,1,0,0,10.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2427,6,17,0.06053165321763201,0,0,0.95,1.0,0.8,1.0,0,1,0,0,11.0,5.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2429,8,1,0.06053165321763201,0,0,0.95,1.0,0.7,1.0,0,1,0,0,17.0,3.0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2437,21,298,0.10223271419317,0,0,0.95,1.0,1.7,1.0,0,1,0,0,19.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2441,14,267,0.074631754320215,0,0,0.85,1.0,1.7,1.0,0,1,0,1,8.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2448,4,245,0.09032794981439099,0,0,1.0,1.0,1.0,1.0,0,1,0,0,0.0,4.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2457,8,202,0.07430272028457902,0,0,0.85,1.0,1.8,1.0,0,1,0,1,8.0,6.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2459,11,193,0.10681742587092999,0,0,0.55,1.0,1.7,1.0,0,1,0,0,18.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2464,16,134,0.092656787697441,0,0,0.95,1.0,2.0,1.0,1,1,0,0,4.0,6.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2466,18,115,0.08678649023034599,0,0,0.95,0.7,2.0,1.0,0,1,0,0,10.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2468,8,119,0.06053165321763201,0,0,0.9,1.0,0.6,1.0,0,1,0,0,12.0,3.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2474,7,97,0.06053165321763201,0,0,1.0,1.0,0.6,1.0,0,1,0,0,7.0,3.0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2475,1,103,0.06053165321763201,0,0,1.0,1.0,1.3,1.0,0,1,0,1,20.0,3.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
